month,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
7,1147,31,1.0008282476024608,0.6036355710549575,80.64516129032258,91.45597210113338,98.1691368788143,32.25806451612903
11,1110,30,0.7877837837837983,0.22183783783788139,82.61261261261261,90.990990990991,100.0,53.333333333333336
12,1147,31,1.0947515257192557,0.012240627724544576,69.39843068875327,82.73757628596339,99.3025283347864,25.806451612903224
8,1138,31,1.3076889279437618,0.43283831282955837,69.68365553602813,82.33743409490334,91.30052724077329,29.261862917398947
3,1145,31,1.2044279475982607,-0.09613100436677217,72.66375545851528,80.34934497816593,93.88646288209607,35.54585152838428
6,1084,30,1.1676752767527805,0.7126937269373079,67.43542435424355,80.07380073800738,95.66420664206642,51.01476014760148
9,1110,30,1.0464324324324221,0.17416216216217847,77.56756756756756,79.63963963963964,95.4954954954955,13.333333333333334
4,1110,30,1.0964594594594645,0.5066756756757084,73.78378378378379,76.84684684684684,97.47747747747748,43.333333333333336
5,1147,31,1.3343853530950422,0.7187445510026567,63.29555361813426,76.80906713164778,98.1691368788143,32.25806451612903
10,1147,31,1.47986050566697,0.7185876198779881,62.51089799476897,74.89102005231038,92.0662598081953,29.03225806451613
2,1073,29,1.3260111835973973,-0.12187325256285919,62.44175209692451,68.59273066169618,96.7381174277726,44.827586206896555
1,1132,31,1.6658745583038785,-0.5019169611307064,58.745583038869256,65.45936395759718,85.07067137809187,39.2226148409894
